title,description,price,category,stock,imageUrl
Modern Jack,"Experience the best with our Modern Jack. Designed for outdoor adventures, it offers seamless integration and user-friendly interface.",843.56,Automotive,44,https://picsum.photos/seed/1158/300/300
Durable Dash Cam,"Upgrade your lifestyle with this Durable Dash Cam. It features high-quality materials, making it perfect for daily activities.",156.41,Automotive,117,https://picsum.photos/seed/1159/300/300
Eco-friendly Collar,"Upgrade your lifestyle with this Eco-friendly Collar. It features modern aesthetics, making it perfect for improving efficiency.",169.7,Pet Supplies,145,https://picsum.photos/seed/1160/300/300
Stylish Blender,Our Stylish Blender combines style and functionality. Key features include water resistance and rapid performance. Ideal for everyday use.,994.0,Home & Kitchen,93,https://picsum.photos/seed/1161/300/300
Premium Saw,"The Premium Saw is the ultimate choice for Tools & Home Improvement enthusiasts. With easy functionality and compact storage, you won't be disappointed.",159.54,Tools & Home Improvement,285,https://picsum.photos/seed/1162/300/300
Durable Hammer,Our Durable Hammer combines style and functionality. Key features include ergonomic design and modern aesthetics. Ideal for everyday use.,11.46,Tools & Home Improvement,45,https://picsum.photos/seed/1163/300/300
Durable Seat Cover,"The Durable Seat Cover is the ultimate choice for Automotive enthusiasts. With high-quality materials and robust construction, you won't be disappointed.",969.39,Automotive,456,https://picsum.photos/seed/1164/300/300
Modern Coffee Maker,"Experience the best with our Modern Coffee Maker. Designed for daily activities, it offers rapid performance and long-lasting battery life.",267.83,Home & Kitchen,113,https://picsum.photos/seed/1165/300/300
Durable Helmet,"Experience the best with our Durable Helmet. Designed for professional use, it offers water resistance and modern aesthetics.",999.73,Sports & Outdoors,90,https://picsum.photos/seed/1166/300/300
Eco-friendly Tablet,"Experience the best with our Eco-friendly Tablet. Designed for outdoor adventures, it offers energy efficiency and high-quality materials.",246.32,Electronics,236,https://picsum.photos/seed/1167/300/300
Durable Wrench,"Upgrade your lifestyle with this Durable Wrench. It features long-lasting battery life, making it perfect for enhancing your home.",448.0,Tools & Home Improvement,62,https://picsum.photos/seed/1168/300/300
Eco-friendly Pan,Our Eco-friendly Pan combines style and functionality. Key features include energy efficiency and ergonomic design. Ideal for everyday use.,982.99,Home & Kitchen,358,https://picsum.photos/seed/1169/300/300
Durable Shorts,"Upgrade your lifestyle with this Durable Shorts. It features energy efficiency, making it perfect for professional use.",586.93,Clothing,198,https://picsum.photos/seed/1170/300/300
Advanced Ladder,"Discover the power of the Advanced Ladder. Including rapid performance and robust construction, it is designed to last.",146.69,Tools & Home Improvement,14,https://picsum.photos/seed/1171/300/300
Advanced Shorts,"Discover the power of the Advanced Shorts. Including compact storage and user-friendly interface, it is designed to last.",400.1,Clothing,53,https://picsum.photos/seed/1172/300/300
Essential Bowl,"Discover the power of the Essential Bowl. Including long-lasting battery life and modern aesthetics, it is designed to last.",282.71,Pet Supplies,481,https://picsum.photos/seed/1173/300/300
Stylish Manual,"Upgrade your lifestyle with this Stylish Manual. It features water resistance, making it perfect for maximum comfort.",90.82,Books,496,https://picsum.photos/seed/1174/300/300
Premium Bed,"The Premium Bed is the ultimate choice for Pet Supplies enthusiasts. With easy functionality and modern aesthetics, you won't be disappointed.",204.72,Pet Supplies,220,https://picsum.photos/seed/1175/300/300
Premium Toaster,"The Premium Toaster is the ultimate choice for Home & Kitchen enthusiasts. With user-friendly interface and robust construction, you won't be disappointed.",307.01,Home & Kitchen,225,https://picsum.photos/seed/1176/300/300
Versatile Plush Toy,"Discover the power of the Versatile Plush Toy. Including easy functionality and long-lasting battery life, it is designed to last.",807.06,Toys & Games,173,https://picsum.photos/seed/1177/300/300
Eco-friendly Oil,"Experience the best with our Eco-friendly Oil. Designed for outdoor adventures, it offers high-quality materials and compact storage.",868.63,Automotive,11,https://picsum.photos/seed/1178/300/300
Modern Knife Set,"The Modern Knife Set is the ultimate choice for Home & Kitchen enthusiasts. With rapid performance and water resistance, you won't be disappointed.",735.87,Home & Kitchen,331,https://picsum.photos/seed/1179/300/300
Eco-friendly Screwdriver,"Upgrade your lifestyle with this Eco-friendly Screwdriver. It features high-quality materials, making it perfect for gift giving.",714.05,Tools & Home Improvement,269,https://picsum.photos/seed/1180/300/300
Premium Atlas,"Discover the power of the Premium Atlas. Including user-friendly interface and long-lasting battery life, it is designed to last.",168.87,Books,234,https://picsum.photos/seed/1181/300/300
Durable Speaker,Our Durable Speaker combines style and functionality. Key features include compact storage and user-friendly interface. Ideal for everyday use.,136.97,Electronics,99,https://picsum.photos/seed/1182/300/300
High-performance Battery,"The High-performance Battery is the ultimate choice for Automotive enthusiasts. With ergonomic design and high-quality materials, you won't be disappointed.",242.08,Automotive,374,https://picsum.photos/seed/1183/300/300
Durable T-Shirt,"Upgrade your lifestyle with this Durable T-Shirt. It features long-lasting battery life, making it perfect for maximum comfort.",258.14,Clothing,343,https://picsum.photos/seed/1184/300/300
Versatile Charger,"The Versatile Charger is the ultimate choice for Electronics enthusiasts. With energy efficiency and ergonomic design, you won't be disappointed.",672.69,Electronics,497,https://picsum.photos/seed/1185/300/300
Stylish Robot,Our Stylish Robot combines style and functionality. Key features include energy efficiency and seamless integration. Ideal for everyday use.,970.49,Toys & Games,491,https://picsum.photos/seed/1186/300/300
Stylish Model Kit,Our Stylish Model Kit combines style and functionality. Key features include energy efficiency and rapid performance. Ideal for everyday use.,147.26,Toys & Games,386,https://picsum.photos/seed/1187/300/300
Essential Car Wax,"Upgrade your lifestyle with this Essential Car Wax. It features modern aesthetics, making it perfect for gift giving.",911.28,Automotive,167,https://picsum.photos/seed/1188/300/300
High-performance Cat Toy,"The High-performance Cat Toy is the ultimate choice for Pet Supplies enthusiasts. With compact storage and easy functionality, you won't be disappointed.",555.23,Pet Supplies,8,https://picsum.photos/seed/1189/300/300
Durable First Aid Kit,Our Durable First Aid Kit combines style and functionality. Key features include ergonomic design and long-lasting battery life. Ideal for everyday use.,226.7,Health & Personal Care,309,https://picsum.photos/seed/1190/300/300
Eco-friendly Dog Food,"Experience the best with our Eco-friendly Dog Food. Designed for maximum comfort, it offers ergonomic design and high-quality materials.",871.47,Pet Supplies,225,https://picsum.photos/seed/1191/300/300
Modern Action Figure,"Discover the power of the Modern Action Figure. Including user-friendly interface and compact storage, it is designed to last.",112.68,Toys & Games,179,https://picsum.photos/seed/1192/300/300
Advanced Cookbook,"Experience the best with our Advanced Cookbook. Designed for gift giving, it offers compact storage and easy functionality.",206.69,Books,412,https://picsum.photos/seed/1193/300/300
Durable Ladder,"Discover the power of the Durable Ladder. Including long-lasting battery life and ergonomic design, it is designed to last.",391.48,Tools & Home Improvement,354,https://picsum.photos/seed/1194/300/300
Modern T-Shirt,"The Modern T-Shirt is the ultimate choice for Clothing enthusiasts. With robust construction and user-friendly interface, you won't be disappointed.",94.34,Clothing,472,https://picsum.photos/seed/1195/300/300
Essential Hammer,"Experience the best with our Essential Hammer. Designed for reliable performance, it offers compact storage and user-friendly interface.",305.88,Tools & Home Improvement,33,https://picsum.photos/seed/1196/300/300
Modern Model Kit,"Upgrade your lifestyle with this Modern Model Kit. It features high-quality materials, making it perfect for gift giving.",734.88,Toys & Games,418,https://picsum.photos/seed/1197/300/300
Advanced Jeans,"The Advanced Jeans is the ultimate choice for Clothing enthusiasts. With water resistance and easy functionality, you won't be disappointed.",930.1,Clothing,316,https://picsum.photos/seed/1198/300/300
Essential Tire Inflator,"Experience the best with our Essential Tire Inflator. Designed for improving efficiency, it offers robust construction and compact storage.",879.9,Automotive,479,https://picsum.photos/seed/1199/300/300
